nome,telefone,endereco,site,nicho,area,data_extração
Mira Transportes - BLUMENAU,554721239900,"R. Ari Barroso, 1.172 - Galpão D - Itoupavazinha, Blumenau - SC, 89066-347, Brazil",http://www.mira.com.br/,transportadora,Blumenau,2025-05-21 10:31:20
Transville Transportes e Serviços - Blumenau,554737026950,"Rua Dr. Pedro Zimmermann, 772 - Salto Norte, Blumenau - SC, 89065-000, Brazil",http://www.transville.com.br/,transportadora,Blumenau,2025-05-21 10:31:20
Aceville Transportes Blumenau,554733384042,"Rua Rudolfo Walter, 66 - Itoupava Central, Blumenau - SC, 89025-140, Brazil",https://www.acevilletransportes.com/,transportadora,Blumenau,2025-05-21 10:31:20
Patrus Transportes - Blumenau,554733276488,"Rua Dr. Pedro Zimmermann, 1960 - Itoupavazinha, Blumenau - SC, 89068-001, Brazil",https://patrus.com.br/,transportadora,Blumenau,2025-05-21 10:31:21
TW Transportes,554735133900,"R. Eng. Udo Deeke, 1022 - Salto Norte, Blumenau - SC, 89065-101, Brazil",https://www.twtransportes.com.br/,transportadora,Blumenau,2025-05-21 10:31:22
Expresso São Miguel - Blumenau,554733219700,"R. Bernardino José de Oliveira, 100 - Badenfurt, Blumenau - SC, 89070-270, Brazil",http://www.expressosaomiguel.com.br/,transportadora,Blumenau,2025-05-21 10:31:22
Sul Express Logística Ltda,554732222525,"R. Ari Barroso, 387 - Salto Norte, Blumenau - SC, 89065-130, Brazil",http://sulexpresslog.com.br/,transportadora,Blumenau,2025-05-21 10:31:22
Blumenau Transportes e Logística Ltda.,554733381110,"Itoupava Central, Blumenau - SC, 89068-240, Brazil",,transportadora,Blumenau,2025-05-21 10:31:23
Alfa Transportes - Blumenau,554721117100,"R. Alwin Rutzen, 151 - Itoupavazinha, Blumenau - SC, 89066-345, Brazil",https://www.alfatransportes.com.br/,transportadora,Blumenau,2025-05-21 10:31:23
Expresso JA,554733393719,"R. Frederico Jensen, 483 - Itoupavazinha, Blumenau - SC, 89066-300, Brazil",http://www.expressoja.com.br/,transportadora,Blumenau,2025-05-21 10:31:25
Blucargo Transportes Nac Internacionais,554731443244,"R. Dois de Setembro, 1649 - Itoupava Norte, Blumenau - SC, 89052-000, Brazil",https://www.blucargo.com.br/,transportadora,Blumenau,2025-05-21 10:31:25
Mayer Mudança Frete Transporte Carretos e Logística Serviços .,5547984743299,"R. Mara Aparecida Freitas, 68 - Fidélis, Blumenau - SC, 89060-112, Brazil",https://www.mayertransportes.com.br/,transportadora,Blumenau,2025-05-21 10:31:26
Rodonaves Blumenau,554733375458,"Rua Dr. Pedro Zimmermann, 7299 - Itoupava Central, Blumenau - SC, 89068-001, Brazil",https://rodonaves.com.br/,transportadora,Blumenau,2025-05-21 10:31:27
Cwlog Transportes,554721112500,"BR-470, 3045 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",https://cwlog.net.br/,transportadora,Blumenau,2025-05-21 10:31:27
Hope Transporte Fretes barato,5547996382957,"R. Guilherme Poerner - Água Verde, Blumenau - SC, 89042-327, Brazil",http://bit.ly/Fretewhats47996382957,transportadora,Blumenau,2025-05-21 10:31:28
